news_headline,news_article,news_category,full_text,clean_text
Bhima-Koregaon inquiry panel summons Sharad Pawar on April 4,The Bhima-Koregaon Judicial Inquiry Commission (JIC) has summoned Nationalist Congress Party (NCP) chief Sharad Pawar for questioning on April 4 in connection with the violence that erupted in Pune district of Maharashtra in 2018. The commission on Tuesday re-scheduled all hearings for the last week of March in Pune to the Mumbai office from March 30 to April 4.,politics,Bhima-Koregaon inquiry panel summons Sharad Pawar on April 4. The Bhima-Koregaon Judicial Inquiry Commission (JIC) has summoned Nationalist Congress Party (NCP) chief Sharad Pawar for questioning on April 4 in connection with the violence that erupted in Pune district of Maharashtra in 2018. The commission on Tuesday re-scheduled all hearings for the last week of March in Pune to the Mumbai office from March 30 to April 4.,bhima koregaon inquiry panel summon sharad pawar april bhima koregaon judicial inquiry commission jic summon nationalist congress party ncp chief sharad pawar question april connection violence erupt pune district maharashtra commission tuesday schedule hearing last week march pune mumbai office march april
Does RS have anti-sexual harassment panel: Mahua Moitra on Ex-CJI's appointment,"Referring to ex-CJI Ranjan Gogoi's appointment as Rajya Sabha MP, TMC MP Mahua Moitra tweeted, ""Is there a Committee against Sexual Harassment of Women in Rajya Sabha, under POSH Act, 2013? We think it may be required for nation building."" Notably, Justice Gogoi was accused of sexual harassment by a former Supreme Court employee, but was cleared of the allegations.",politics,"Does RS have anti-sexual harassment panel: Mahua Moitra on Ex-CJI's appointment. Referring to ex-CJI Ranjan Gogoi's appointment as Rajya Sabha MP, TMC MP Mahua Moitra tweeted, ""Is there a Committee against Sexual Harassment of Women in Rajya Sabha, under POSH Act, 2013? We think it may be required for nation building."" Notably, Justice Gogoi was accused of sexual harassment by a former Supreme Court employee, but was cleared of the allegations.",r anti sexual harassment panel mahua moitra ex cjis appointment refer ex cji ranjan gogois appointment rajya sabha mp tmc mp mahua moitra tweet committee sexual harassment woman rajya sabha posh act think may require nation building notably justice gogoi accuse sexual harassment former supreme court employee clear allegation
Digvijaya sits on dharna outside B'luru hotel to meet MP Cong MLAs; detained,Congress leader Digvijaya Singh sat on a dharna outside the Bengaluru hotel on Wednesday after he was allegedly not allowed to meet rebel Madhya Pradesh Congress MLAs inside the hotel. He was later put under preventive arrest by the police. Singh alleged that the MLAs want to speak with him but their phones have been taken away.,politics,Digvijaya sits on dharna outside B'luru hotel to meet MP Cong MLAs; detained. Congress leader Digvijaya Singh sat on a dharna outside the Bengaluru hotel on Wednesday after he was allegedly not allowed to meet rebel Madhya Pradesh Congress MLAs inside the hotel. He was later put under preventive arrest by the police. Singh alleged that the MLAs want to speak with him but their phones have been taken away.,digvijaya sit dharna outside bluru hotel meet mp cong mlas detain congress leader digvijaya singh sit dharna outside bengaluru hotel wednesday allegedly not allow meet rebel madhya pradesh congress mlas inside hotel later put preventive arrest police singh allege mla want speak phone take away
"Savarkar Road sign in JNU defaced, renamed after Ambedkar; restored later",The signboard of a Jawaharlal Nehru University (JNU) road named after VD Savarkar was defaced on Monday night with BR Ambedkar's name spray-painted on it. Student organisation ABVP has alleged that the sign was defaced twice with miscreants putting black paint and a poster of Muhammad Ali Jinnah on it. The board was later cleaned and restored the same day.,politics,"Savarkar Road sign in JNU defaced, renamed after Ambedkar; restored later. The signboard of a Jawaharlal Nehru University (JNU) road named after VD Savarkar was defaced on Monday night with BR Ambedkar's name spray-painted on it. Student organisation ABVP has alleged that the sign was defaced twice with miscreants putting black paint and a poster of Muhammad Ali Jinnah on it. The board was later cleaned and restored the same day.",savarkar road sign jnu deface rename ambedkar restore later signboard jawaharlal nehru university jnu road name vd savarkar deface monday night br ambedkar name spray paint student organisation abvp allege sign deface twice miscreant put black paint poster muhammad ali jinnah board later clean restore day
"Ex-MP CM Digvijaya Singh on sit-in protest lifted, dragged by Bengaluru Police","Congress leader and former Madhya Pradesh CM Digvijaya Singh, who staged a sit-in protest outside a Bengaluru hotel after he wasn't allowed to meet Congress MLAs, was forcibly lifted and dragged by police. A video shows Singh interlocking arms with party workers as police tried to remove him from the spot. Twenty-two rebel MLAs are reportedly staying at the hotel.",politics,"Ex-MP CM Digvijaya Singh on sit-in protest lifted, dragged by Bengaluru Police. Congress leader and former Madhya Pradesh CM Digvijaya Singh, who staged a sit-in protest outside a Bengaluru hotel after he wasn't allowed to meet Congress MLAs, was forcibly lifted and dragged by police. A video shows Singh interlocking arms with party workers as police tried to remove him from the spot. Twenty-two rebel MLAs are reportedly staying at the hotel.",ex mp cm digvijaya singh sit protest lift drag bengaluru police congress leader former madhya pradesh cm digvijaya singh stage sit protest outside bengaluru hotel not allow meet congress mlas forcibly lift drag police video show singh interlock arm party worker police try remove spot twenty two rebel mla reportedly stay hotel
Let 16 MLAs held captive by BJP be released first: MP CM to Guv on floor test,"Madhya Pradesh CM Kamal Nath wrote to Governor Lal Ji Tandon that 16 Congress MLAs have been held captive by the BJP. ""Let the MLAs, who have been held captive, be released. Let them live in their respective houses for 5-7 days without any fear so that they can take an independent decision,"" Nath wrote on conducting the floor test.",politics,"Let 16 MLAs held captive by BJP be released first: MP CM to Guv on floor test. Madhya Pradesh CM Kamal Nath wrote to Governor Lal Ji Tandon that 16 Congress MLAs have been held captive by the BJP. ""Let the MLAs, who have been held captive, be released. Let them live in their respective houses for 5-7 days without any fear so that they can take an independent decision,"" Nath wrote on conducting the floor test.",let mla hold captive bjp release first mp cm guv floor test madhya pradesh cm kamal nath write governor lal ji tandon congress mlas hold captive bjp let mla hold captive release let live respective house day without fear take independent decision nath write conduct floor test
Ex-CJI Gogoi has compromised judiciary's impartiality: Retd Justice Joseph,"Retired Supreme Court Judge Justice Kurian Joseph said he was ""surprised"" to see how former Chief Justice of India Ranjan Gogoi has ""compromised the noble principles on the independence and impartiality of the judiciary"". This comes after President Ram Nath Kovind nominated Gogoi to Rajya Sabha. Gogoi said he will reveal why he accepted the nomination, after taking oath.",politics,"Ex-CJI Gogoi has compromised judiciary's impartiality: Retd Justice Joseph. Retired Supreme Court Judge Justice Kurian Joseph said he was ""surprised"" to see how former Chief Justice of India Ranjan Gogoi has ""compromised the noble principles on the independence and impartiality of the judiciary"". This comes after President Ram Nath Kovind nominated Gogoi to Rajya Sabha. Gogoi said he will reveal why he accepted the nomination, after taking oath.",ex cji gogoi compromise judiciarys impartiality retd justice joseph retired supreme court judge justice kurian joseph say surprised see former chief justice india ranjan gogoi compromise noble principle independence impartiality judiciary come president ram nath kovind nominate gogoi rajya sabha gogoi say reveal accept nomination take oath
BJP will never win by defeating my state: Nath after announcing resignation,"After Congress leader Kamal Nath announced his decision to resign as Madhya Pradesh CM, he said that BJP will ""never win by defeating his state"". ""They cannot weaken my resolve...irrespective of the post...will continue to work for the people,"" he added. Notably, the Supreme Court directed the state to conduct the floor test by 5 pm on Friday.",politics,"BJP will never win by defeating my state: Nath after announcing resignation. After Congress leader Kamal Nath announced his decision to resign as Madhya Pradesh CM, he said that BJP will ""never win by defeating his state"". ""They cannot weaken my resolve...irrespective of the post...will continue to work for the people,"" he added. Notably, the Supreme Court directed the state to conduct the floor test by 5 pm on Friday.",bjp never win defeat state nath announce resignation congress leader kamal nath announce decision resign madhya pradesh cm say bjp never win defeat state not weaken resolve irrespective post continue work people add notably supreme court direct state conduct floor test pm friday
"BJP will get support of BTP, NCP MLAs in RS polls: Gujarat CM Rupani","Gujarat CM Vijay Rupani said that BJP will get the support of two MLAs of Bharatiya Tribal Party (BTP) and an MLA of Nationalist Congress Party (NCP) in the upcoming March 26 Rajya Sabha polls. He added that all three BJP candidates will also ""certainly win"". Notably, both BTP and NCP are part of Congress-led opposition in the state Assembly.",politics,"BJP will get support of BTP, NCP MLAs in RS polls: Gujarat CM Rupani. Gujarat CM Vijay Rupani said that BJP will get the support of two MLAs of Bharatiya Tribal Party (BTP) and an MLA of Nationalist Congress Party (NCP) in the upcoming March 26 Rajya Sabha polls. He added that all three BJP candidates will also ""certainly win"". Notably, both BTP and NCP are part of Congress-led opposition in the state Assembly.",bjp get support btp ncp mlas rs poll gujarat cm rupani gujarat cm vijay rupani say bjp get support two mla bharatiya tribal party btp mla nationalist congress party ncp upcoming march rajya sabha poll add three bjp candidate also certainly win notably btp ncp part congress lead opposition state assembly
Scindia didn't mention pending cases in RS nomination papers: Cong,"Congress party raised objections before returning officer AP Singh against BJP's Rajya Sabha nominee Jyotiraditya Scindia saying neither his affidavit and nor his nomination papers have details of cases pending against him. Congress Rajya Sabha nominees from Madhya Pradesh, Digvijaya Singh and PS Baraiya, sought rejection of Scindia and another BJP candidate Sumer Singh Solanki's nominations.",politics,"Scindia didn't mention pending cases in RS nomination papers: Cong. Congress party raised objections before returning officer AP Singh against BJP's Rajya Sabha nominee Jyotiraditya Scindia saying neither his affidavit and nor his nomination papers have details of cases pending against him. Congress Rajya Sabha nominees from Madhya Pradesh, Digvijaya Singh and PS Baraiya, sought rejection of Scindia and another BJP candidate Sumer Singh Solanki's nominations.",scindia not mention pende case rs nomination paper cong congress party raise objection return officer ap singh bjps rajya sabha nominee jyotiraditya scindia say neither affidavit nomination paper detail case pende congress rajya sabha nominee madhya pradesh digvijaya singh ps baraiya seek rejection scindia another bjp candidate sumer singh solankis nomination
Victory of truth: Scindia after CM Kamal Nath resigns in Madhya Pradesh,"After Madhya Pradesh CM Kamal Nath announced his resignation, Former Congress leader Jyotiraditya M Scindia, who recently joined BJP, tweeted that people of MP have won today. ""I have always believed that politics should be to serve the people. However, the Congress government had seemed to deviate from its path. Truth has won today,"" he added.",politics,"Victory of truth: Scindia after CM Kamal Nath resigns in Madhya Pradesh. After Madhya Pradesh CM Kamal Nath announced his resignation, Former Congress leader Jyotiraditya M Scindia, who recently joined BJP, tweeted that people of MP have won today. ""I have always believed that politics should be to serve the people. However, the Congress government had seemed to deviate from its path. Truth has won today,"" he added.",victory truth scindia cm kamal nath resign madhya pradesh madhya pradesh cm kamal nath announce resignation former congress leader jyotiraditya scindia recently join bjp tweet people mp win today always believe politic serve people however congress government seem deviate path truth win today add
